LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

-100.0 6100 xlo xhi
-100.0 6100 ylo yhi
-100.0 6100 zlo zhi

Masses

1 221851
2 422051

Atoms

666 2  2836.239 2139.125 0.000
667 2  260.828 655.706 106.566
668 2  936.638 782.324 1539.142
669 2  1591.177 250.612 372.219
670 2  1247.810 614.431 202.651
671 2  1256.898 63.999 19.672
672 2  1920.196 1632.930 1909.640
673 2  1812.988 3964.480 562.995
674 2  5993.866 3543.219 5664.115
675 2  790.367 444.376 630.313
676 2  1234.716 197.135 307.945
677 2  305.167 312.863 1347.495
678 2  1720.590 606.819 4519.096
679 2  346.194 1121.503 2158.483
680 2  1965.522 103.398 330.570
681 2  709.711 779.562 1435.498
682 2  0.000 1575.424 3176.343
683 2  578.881 571.130 743.158
684 2  1130.813 1919.215 4693.713
685 2  268.126 525.884 624.477
686 2  334.266 352.805 683.426
687 2  1170.138 852.176 314.304
688 2  693.149 280.755 1436.901
689 2  767.484 1589.846 0.000
690 2  725.334 473.489 893.810
691 2  1182.807 499.664 1174.215
692 2  0.000 894.465 798.099
693 2  1385.582 305.895 1019.269
694 2  1307.888 391.670 617.715
695 2  989.844 1068.000 382.649
696 2  2135.782 2598.631 1443.940
697 2  412.483 2.839 2209.885
698 2  4399.641 993.917 2986.418
699 2  508.163 611.906 1140.499
700 2  5977.322 1934.245 2511.834
701 2  1278.941 1073.463 354.739
702 2  0.000 1739.556 0.000
703 2  246.705 9.664 0.023
704 2  3658.470 2029.763 1673.025
705 2  1029.577 1373.533 879.056
706 2  5999.253 5999.869 3799.003
707 2  369.122 822.223 1.500
708 2  101.165 1365.987 269.405
709 2  9.920 954.364 341.247
710 2  201.612 2156.176 949.203
711 2  388.512 424.685 510.112
712 2  0.000 2508.463 5043.762
713 2  859.482 572.045 130.062
714 2  2948.714 5992.531 5646.729
715 2  742.950 678.314 232.685
716 2  6.577 996.177 129.038
717 2  2211.396 5003.753 904.481
718 2  4722.042 5196.161 563.149
719 2  5997.592 1070.071 5887.753
720 2  814.269 1182.506 548.258
721 2  666.698 267.968 1130.961
722 2  1292.509 233.580 499.170
723 2  2120.771 543.608 199.961
724 2  5362.824 2619.417 2840.100
725 2  679.269 845.691 735.453
726 2  2192.690 248.741 1276.505
727 2  182.970 814.540 451.737
728 2  606.705 620.621 946.256
729 2  966.929 871.390 315.364
730 2  1442.479 646.791 306.194
731 2  4752.983 4145.602 4110.338
732 2  3379.630 0.000 5916.473
733 2  467.012 1339.329 50.485
734 2  937.626 1754.342 1046.764
735 2  2653.705 4935.522 5916.359
736 2  1489.844 3.772 1443.706
737 2  1007.285 839.559 695.396
738 2  364.503 302.622 884.611
739 2  731.490 443.044 279.261
740 2  537.356 2873.031 533.485
741 2  1836.381 0.000 1145.595
742 2  221.191 476.364 412.778
743 2  3535.983 3705.773 2766.233
744 2  685.804 958.545 902.120
745 2  971.683 746.727 868.311
746 2  578.794 1296.757 1025.248
