LAMMPS data file, Author: Jerry Qin

1000 atoms
0 bonds
0 angles

2 atom types

0.0 6000 xlo xhi
0.0 6000 ylo yhi
0.0 6000 zlo zhi

Masses

1 221851.699
2 422051.6999

Atoms

374 1  1285.701 1041.549 449.833
375 1  794.573 0.000 692.607
376 1  0.000 177.644 1303.022
377 1  1357.427 1313.980 1497.375
378 1  1189.985 2642.048 2115.256
379 1  1692.009 1425.560 187.610
380 1  1327.054 657.824 454.529
381 1  480.518 1658.590 555.678
382 1  799.876 375.512 996.173
383 1  102.307 1126.657 627.580
384 1  3433.080 424.941 3283.354
385 1  948.589 248.513 1444.325
386 1  538.094 1517.816 2550.829
387 1  784.868 409.419 1225.449
388 1  348.530 651.906 535.790
389 1  1383.854 92.581 357.103
390 1  643.934 116.620 614.279
391 1  53.376 489.419 560.075
392 1  227.049 1153.707 400.946
393 1  307.596 553.784 937.383
394 1  251.815 0.000 1410.389
395 1  1973.719 117.514 2128.240
396 1  490.030 1103.833 1394.697
397 1  339.994 1248.901 269.093
398 1  315.158 1050.865 990.021
399 1  0.000 1061.571 917.736
400 1  583.512 791.247 691.929
401 1  248.462 191.401 845.682
402 1  1102.972 224.628 1132.786
403 1  1040.949 267.187 638.292
404 1  2386.081 506.940 832.121
405 1  262.010 915.472 601.082
406 1  872.892 1066.369 508.048
407 1  429.597 1025.212 946.059
408 1  3326.243 2267.088 934.078
409 1  3328.944 467.433 1311.532
410 1  254.773 155.381 0.001
411 1  55.013 281.030 482.554
412 1  483.200 12.407 874.672
413 1  989.153 1430.133 855.078
414 1  352.618 665.433 213.759
415 1  975.099 1100.080 583.198
416 1  0.000 171.338 129.832
417 1  183.922 672.263 800.920
418 1  229.918 175.489 967.201
419 1  801.879 690.036 86.733
420 1  15.513 572.839 247.168
421 1  2161.024 0.000 2433.513
422 1  268.340 318.089 619.127
423 1  1114.411 1561.426 1104.323
424 1  1.901 2.098 2730.311
425 1  930.306 1194.583 729.638
426 1  0.000 352.431 581.738
427 1  647.371 45.975 137.288
428 1  803.457 405.087 299.047
429 1  562.931 1478.169 207.455
430 1  1017.193 1116.015 468.475
431 1  323.907 809.409 279.331
432 1  898.594 461.719 1159.330
433 1  1528.425 1029.982 500.129
434 1  269.625 883.821 967.235
435 1  1114.644 2760.848 801.154
436 1  685.075 468.154 1107.273
437 1  719.732 652.712 450.835
438 1  0.000 1163.811 652.324
439 1  1214.486 177.418 0.000
440 1  843.780 1147.020 858.836
441 1  1452.146 1383.380 1392.349
442 1  758.263 166.913 983.159
443 1  2607.038 1657.463 1885.831
444 1  2270.306 1559.272 1364.615
445 1  0.000 691.913 752.707
446 1  71.130 723.833 223.901
447 1  1927.821 730.836 1250.123
448 1  655.189 0.000 529.144
449 1  723.410 634.639 0.000
450 1  3576.644 2555.723 1172.769
451 1  65.414 960.561 545.436
452 1  656.934 349.076 81.809
453 1  488.203 726.458 0.000
454 1  588.944 610.727 1099.410
455 1  175.417 43.049 722.441
456 1  891.879 232.541 492.080
457 1  952.138 565.020 104.555
458 1  1033.750 79.784 664.550
459 1  329.634 994.688 467.777
460 1  374.524 480.002 617.504
461 1  1066.143 568.382 596.385
462 1  2321.439 176.274 781.165
