LAMMPS data file, author Jerry Qin

1000 atoms
2 atom types
0 bonds
0 angles

-200.0 3200 xlo xhi
-200.0 3200 ylo yhi
-200.0 3200 zlo zhi

Masses

1 221851.569
2 422051.5699

Atoms

517 2  3000.000 2331.806 291.596
518 2  0.496 2999.083 2999.923
519 2  2449.514 1574.637 3000.000
520 2  403.125 2999.905 1201.526
521 2  2996.053 2994.077 2.690
522 2  1389.784 2999.346 1770.949
523 2  1030.388 1979.591 1345.205
524 2  1572.426 2107.985 0.000
525 2  2998.956 2600.306 2682.040
526 2  2997.943 2999.346 2998.934
527 2  2963.674 67.270 2843.386
528 2  2997.881 2352.782 2169.534
529 2  0.005 2999.997 0.005
530 2  2.744 40.957 58.126
531 2  2999.999 1307.490 260.269
532 2  0.000 2258.132 1093.800
533 2  0.750 1720.599 1.223
534 2  2277.799 2172.514 2967.898
535 2  1008.703 1712.473 1669.857
536 2  2999.999 1735.856 2700.728
537 2  0.000 2864.100 708.635
538 2  1890.738 0.000 1519.583
539 2  2999.361 175.409 2139.952
540 2  1091.940 2999.997 2544.686
541 2  0.912 2999.382 1552.974
542 2  1208.733 0.158 2252.753
543 2  1036.004 1.387 0.676
544 2  0.159 749.339 1.936
545 2  2957.641 2440.215 2642.462
546 2  721.952 0.779 2843.496
547 2  1629.448 2901.466 3000.000
548 2  1895.448 1838.612 2999.994
549 2  0.390 2402.489 0.770
550 2  2714.014 1915.492 1451.155
551 2  1392.283 13.690 2986.607
552 2  3000.000 2848.744 1205.882
553 2  0.000 0.000 756.829
554 2  1656.554 0.000 952.597
555 2  1769.428 3000.000 3000.000
556 2  2999.690 12.989 889.508
557 2  2099.634 2676.609 0.000
558 2  2717.999 1355.304 370.984
559 2  2467.410 0.000 465.699
560 2  3000.000 1610.172 1220.974
561 2  2998.200 173.587 124.272
562 2  467.958 3000.000 2404.416
563 2  1872.219 0.000 2016.157
564 2  2565.860 448.113 2624.974
565 2  106.190 1558.716 72.174
566 2  2926.402 2697.966 1354.971
567 2  1467.327 168.543 164.894
568 2  1568.755 1104.113 913.613
569 2  485.136 648.815 1297.522
570 2  1843.828 1937.624 675.250
571 2  1527.222 1812.774 97.977
572 2  2756.793 106.375 703.496
573 2  2916.319 79.085 2383.619
574 2  981.445 2727.794 987.070
575 2  2388.826 19.125 301.826
576 2  1964.901 273.802 1002.664
577 2  1831.842 568.032 554.417
578 2  8.792 2097.105 888.547
579 2  2590.138 841.013 1.009
580 2  1224.974 620.686 789.367
581 2  196.599 780.482 1913.034
582 2  153.972 785.180 851.112
583 2  141.776 341.812 1474.447
584 2  577.503 4.927 1441.942
585 2  159.066 2886.687 336.304
586 2  823.184 557.292 811.062
587 2  660.303 1183.440 925.846
588 2  737.866 889.347 269.542
589 2  158.378 922.903 0.000
590 2  1786.866 24.457 573.532
591 2  3000.000 1917.050 1458.833
592 2  1124.675 1559.404 1741.731
593 2  236.056 2219.575 2343.063
594 2  609.577 1394.030 304.878
595 2  2604.924 2514.067 889.424
596 2  52.850 405.169 1731.438
597 2  1102.853 471.510 1042.510
598 2  449.252 747.527 1884.567
599 2  503.956 655.105 1025.336
600 2  2213.646 2999.967 1276.088
601 2  393.537 1265.471 490.732
602 2  1102.249 1433.070 2968.930
603 2  208.324 1458.250 742.487
604 2  85.461 922.040 1485.357
605 2  1241.417 902.402 5.644
606 2  1490.229 1343.336 599.426
607 2  209.006 1009.707 944.044
608 2  704.848 705.904 635.108
609 2  594.533 984.855 668.398
610 2  535.343 1290.353 705.675
611 2  717.810 283.012 1316.262
612 2  801.288 1404.286 305.634
613 2  2828.147 708.098 134.203
614 2  1290.573 626.572 946.191
615 2  692.654 739.461 392.616
616 2  201.009 563.141 282.730
617 2  700.681 424.418 1194.567
618 2  1025.484 1014.388 966.565
619 2  2999.095 1.679 2996.171
620 2  428.698 98.641 298.454
621 2  2395.285 2506.012 1421.738
622 2  1036.364 353.748 621.998
623 2  266.157 2841.928 1028.198
624 2  1185.359 788.355 499.497
625 2  353.732 1126.000 807.685
626 2  109.023 1666.036 451.628
627 2  1186.824 222.747 1648.594
628 2  0.000 1011.068 781.405
629 2  234.751 1144.953 415.580
630 2  2889.916 2860.268 302.312
631 2  244.438 862.313 1474.967
632 2  1619.949 468.294 0.000
633 2  483.630 906.269 1325.087
634 2  352.307 0.000 416.380
635 2  489.377 487.868 186.822
636 2  1887.647 1351.821 780.238
637 2  1078.649 366.816 798.519
638 2  1455.101 814.113 746.099
639 2  5.140 2.243 1045.666
640 2  735.209 888.606 587.838
641 2  948.101 975.351 718.704
642 2  319.341 166.826 412.367
643 2  1818.354 744.891 1483.571
644 2  256.981 551.074 2531.551
645 2  1317.224 590.276 67.573
646 2  1056.595 1069.409 581.133
647 2  670.357 123.615 1230.529
648 2  493.185 1343.154 173.169
649 2  569.289 1257.253 2555.895
650 2  0.000 2751.792 2538.582
651 2  1481.941 246.077 320.838
652 2  2229.479 220.744 976.294
653 2  1621.284 538.356 966.110
654 2  1486.162 244.163 1965.643
655 2  1342.379 1181.464 2611.405
656 2  2184.031 3000.000 584.710
657 2  1197.126 1030.256 931.539
658 2  3000.000 1736.068 1795.343
659 2  440.110 1588.380 527.470
660 2  648.054 727.921 189.812
661 2  808.066 1310.653 956.063
662 2  920.497 1520.512 849.513
663 2  1666.852 1730.976 2923.393
664 2  1982.594 808.172 781.652
665 2  2716.544 0.004 175.795
666 2  0.175 2377.713 2999.332
667 2  254.695 784.294 1288.574
668 2  982.670 1501.543 0.000
669 2  609.983 254.520 614.366
670 2  411.723 901.703 80.676
671 2  2541.704 2406.124 518.886
672 2  621.697 250.489 1539.731
673 2  996.511 216.952 357.076
674 2  163.408 389.175 551.720
675 2  226.995 364.527 1080.178
676 2  597.713 643.470 1169.978
677 2  435.436 486.917 1052.572
678 2  979.876 2768.738 2857.643
679 2  68.350 1701.674 2633.329
680 2  614.187 1010.387 854.821
681 2  891.945 1273.989 774.119
682 2  1147.989 352.718 305.404
683 2  1373.581 424.373 920.311
684 2  1370.979 187.602 4.885
685 2  667.811 1590.694 96.047
686 2  1173.797 279.695 502.833
687 2  2468.966 392.547 2924.410
688 2  1131.862 2289.842 1525.310
689 2  498.696 1096.607 1218.993
690 2  548.623 454.347 1268.047
691 2  562.495 254.820 1041.006
692 2  1399.751 928.652 2936.379
693 2  1281.637 190.854 1260.239
694 2  2279.624 2880.093 2864.274
695 2  2990.419 2409.621 681.077
696 2  1755.679 367.630 167.116
697 2  2942.164 1852.875 2985.661
698 2  558.815 1195.828 451.705
699 2  367.462 637.275 1421.013
700 2  148.480 499.571 690.890
701 2  1375.457 763.039 392.623
702 2  942.958 2883.964 563.696
703 2  2442.246 62.682 2848.229
704 2  1230.099 2112.031 1039.885
705 2  524.814 759.494 468.953
706 2  250.191 1521.650 589.792
707 2  361.832 393.138 781.179
708 2  1134.886 387.565 2562.537
709 2  673.275 1254.990 230.348
710 2  604.506 89.783 293.995
711 2  708.002 113.560 1053.201
712 2  72.487 271.541 2896.407
713 2  177.758 1077.569 1490.117
714 2  1908.798 407.867 1468.280
715 2  91.103 2293.411 141.953
716 2  514.473 1751.404 180.792
717 2  2895.356 2950.964 1611.722
718 2  2225.417 65.889 2970.335
719 2  1019.873 760.167 1886.606
720 2  1360.339 2954.929 2988.628
721 2  493.563 25.419 0.000
722 2  606.238 482.038 330.509
723 2  1849.680 495.079 1209.913
724 2  284.231 1058.512 641.777
725 2  749.842 3000.000 1479.664
726 2  143.272 2081.180 1351.694
727 2  2124.885 2152.045 1260.012
728 2  1023.743 418.757 167.469
729 2  1836.340 896.101 1342.157
730 2  771.957 825.029 763.471
731 2  42.647 767.977 184.183
732 2  666.662 9.041 154.790
733 2  2914.752 532.386 2838.038
734 2  1400.281 0.000 862.553
735 2  193.442 1326.330 455.904
736 2  284.805 364.837 144.436
737 2  612.114 993.636 213.220
738 2  421.189 1435.671 728.093
739 2  249.346 2197.046 52.552
740 2  108.046 593.611 1202.271
741 2  483.394 669.573 211.508
742 2  781.193 1427.351 137.456
743 2  1927.823 852.920 301.967
744 2  8.522 988.933 605.050
745 2  2250.719 415.362 207.260
746 2  2448.609 1221.962 1572.106
747 2  2789.321 2.030 2998.905
748 2  2818.426 3000.000 1049.080
749 2  1071.420 1266.369 86.414
750 2  775.071 2424.670 2934.567
751 2  104.428 1381.896 1902.849
752 2  688.388 1130.684 1162.268
753 2  156.491 936.699 771.238
754 2  1888.146 765.686 2976.186
755 2  655.363 2923.589 2826.444
756 2  400.638 497.178 510.427
757 2  877.780 1141.728 880.146
758 2  144.832 1380.616 985.298
759 2  2879.088 88.808 558.561
760 2  2839.442 1370.368 2953.697
761 2  523.281 616.701 1.700
762 2  545.806 2629.091 392.313
763 2  2946.138 988.547 2884.365
764 2  0.059 2779.317 1250.848
765 2  1338.515 1661.502 1332.633
766 2  1817.626 1892.530 1750.363
767 2  2955.958 2142.290 1724.268
768 2  2324.479 2275.559 5.437
769 2  168.533 818.681 375.928
770 2  2250.210 370.478 0.000
771 2  1273.946 187.770 146.223
772 2  1495.847 422.539 147.884
773 2  1728.542 328.567 2961.756
774 2  2413.680 2900.568 248.013
775 2  1744.791 961.320 103.213
776 2  275.459 195.077 1164.847
777 2  1839.065 1524.947 1641.316
778 2  2621.919 937.470 731.666
779 2  1247.484 1142.075 497.084
780 2  635.080 1863.251 4.651
781 2  1433.857 80.328 673.768
782 2  1095.029 623.532 631.628
783 2  601.844 1384.005 1094.232
784 2  1713.160 993.256 1197.163
785 2  625.693 635.384 1762.428
786 2  446.419 1646.362 1404.350
787 2  2558.095 0.000 1228.372
788 2  179.214 1333.630 270.048
789 2  2049.509 1221.737 7.561
790 2  0.000 419.309 752.663
791 2  1148.629 1042.156 1305.867
792 2  471.189 1078.011 923.414
793 2  494.178 1787.460 1571.454
